"","fecha_v","edad_final","TipoAtencion","sexo","Sum"
"1",2020-01-08,46,"Consulta","mujer",1
"2",2020-03-06,34,"Consulta","hombre",1
"3",2020-03-07,24,"Urgencia","hombre",1
"4",2020-03-09,33,"Consulta","mujer",1
"5",2020-03-11,35,"Consulta","mujer",1
"6",2020-03-19,27,"Consulta","hombre",1
"7",2020-03-19,51,"Consulta","hombre",1
"8",2020-03-20,24,"Urgencia","mujer",1
"9",2020-03-20,34,"Consulta","mujer",1
"10",2020-03-21,48,"Consulta","mujer",1
"11",2020-03-25,88,"Urgencia","mujer",1
"12",2020-03-28,52,"Consulta","hombre",1
"13",2020-03-28,54,"Consulta","mujer",1
"14",2020-03-29,65,"Urgencia","hombre",1
"15",2020-03-30,0,"Consulta","hombre",1
"16",2020-03-30,7,"Consulta","mujer",1
"17",2020-03-30,11,"Consulta","mujer",1
"18",2020-03-30,24,"Consulta","hombre",1
"19",2020-03-30,27,"Consulta","mujer",1
"20",2020-03-31,0,"Consulta","hombre",1
"21",2020-03-31,22,"Consulta","hombre",1
"22",2020-03-31,55,"Consulta","mujer",1
"23",2020-03-31,81,"Consulta","hombre",1
"24",2020-04-01,0,"Consulta","hombre",1
"25",2020-04-01,0,"Consulta","mujer",1
"26",2020-04-01,0,"Urgencia","mujer",1
"27",2020-04-01,22,"Consulta","hombre",1
"28",2020-04-01,31,"Consulta","hombre",1
"29",2020-04-01,64,"Consulta","mujer",1
"30",2020-04-01,67,"Consulta","mujer",1
"31",2020-04-01,71,"Consulta","mujer",1
"32",2020-04-01,78,"Consulta","mujer",1
"33",2020-04-01,91,"Consulta","mujer",1
"34",2020-04-02,26,"Consulta","hombre",1
"35",2020-04-02,31,"Consulta","mujer",1
"36",2020-04-02,51,"Consulta","mujer",1
"37",2020-04-02,56,"Urgencia","hombre",1
"38",2020-04-02,62,"Consulta","mujer",1
"39",2020-04-02,65,"Consulta","mujer",1
"40",2020-04-02,66,"Consulta","hombre",1
"41",2020-04-02,66,"Consulta","mujer",1
"42",2020-04-02,68,"Consulta","mujer",2
"43",2020-04-02,70,"Consulta","mujer",1
"44",2020-04-02,72,"Consulta","hombre",1
"45",2020-04-02,72,"Consulta","mujer",1
"46",2020-04-02,74,"Consulta","mujer",1
"47",2020-04-02,76,"Consulta","hombre",3
"48",2020-04-02,78,"Consulta","mujer",1
"49",2020-04-02,82,"Consulta","mujer",1
"50",2020-04-02,83,"Consulta","mujer",1
"51",2020-04-02,88,"Consulta","mujer",1
"52",2020-04-03,0,"Consulta","mujer",1
"53",2020-04-03,0,"Urgencia","mujer",1
"54",2020-04-03,28,"Consulta","mujer",1
"55",2020-04-03,28,"Urgencia","mujer",1
"56",2020-04-03,56,"Consulta","mujer",1
"57",2020-04-03,60,"Consulta","mujer",1
"58",2020-04-03,61,"Consulta","hombre",8
"59",2020-04-03,61,"Consulta","mujer",12
"60",2020-04-03,62,"Consulta","hombre",13
"61",2020-04-03,62,"Consulta","mujer",10
"62",2020-04-03,63,"Consulta","hombre",6
"63",2020-04-03,63,"Consulta","mujer",18
"64",2020-04-03,64,"Consulta","hombre",6
"65",2020-04-03,64,"Consulta","mujer",15
"66",2020-04-03,65,"Consulta","hombre",3
"67",2020-04-03,65,"Consulta","mujer",15
"68",2020-04-03,66,"Consulta","hombre",4
"69",2020-04-03,66,"Consulta","mujer",12
"70",2020-04-03,67,"Consulta","hombre",6
"71",2020-04-03,67,"Consulta","mujer",16
"72",2020-04-03,68,"Consulta","hombre",8
"73",2020-04-03,68,"Consulta","mujer",18
"74",2020-04-03,69,"Consulta","hombre",7
"75",2020-04-03,69,"Consulta","mujer",17
"76",2020-04-03,70,"Consulta","hombre",4
"77",2020-04-03,70,"Consulta","mujer",10
"78",2020-04-03,71,"Consulta","hombre",4
"79",2020-04-03,71,"Consulta","mujer",14
"80",2020-04-03,72,"Consulta","hombre",7
"81",2020-04-03,72,"Consulta","mujer",9
"82",2020-04-03,73,"Consulta","hombre",7
"83",2020-04-03,73,"Consulta","mujer",9
"84",2020-04-03,74,"Consulta","hombre",5
"85",2020-04-03,74,"Consulta","mujer",11
"86",2020-04-03,75,"Consulta","hombre",3
"87",2020-04-03,75,"Consulta","mujer",9
"88",2020-04-03,76,"Consulta","hombre",7
"89",2020-04-03,76,"Consulta","mujer",11
"90",2020-04-03,77,"Consulta","hombre",5
"91",2020-04-03,77,"Consulta","mujer",8
"92",2020-04-03,78,"Consulta","hombre",2
"93",2020-04-03,78,"Consulta","mujer",7
"94",2020-04-03,79,"Consulta","hombre",5
"95",2020-04-03,79,"Consulta","mujer",3
"96",2020-04-03,80,"Consulta","hombre",6
"97",2020-04-03,80,"Consulta","mujer",12
"98",2020-04-03,81,"Consulta","hombre",2
"99",2020-04-03,81,"Consulta","mujer",8
"100",2020-04-03,82,"Consulta","hombre",9
"101",2020-04-03,82,"Consulta","mujer",5
"102",2020-04-03,83,"Consulta","hombre",3
"103",2020-04-03,83,"Consulta","mujer",5
"104",2020-04-03,84,"Consulta","mujer",10
"105",2020-04-03,85,"Consulta","hombre",1
"106",2020-04-03,85,"Consulta","mujer",5
"107",2020-04-03,86,"Consulta","hombre",2
"108",2020-04-03,86,"Consulta","mujer",3
"109",2020-04-03,87,"Consulta","hombre",1
"110",2020-04-03,87,"Consulta","mujer",5
"111",2020-04-03,88,"Consulta","hombre",2
"112",2020-04-03,88,"Consulta","mujer",2
"113",2020-04-03,89,"Consulta","hombre",1
"114",2020-04-03,89,"Consulta","mujer",2
"115",2020-04-03,90,"Consulta","hombre",1
